Name;Age;Nationality;CC;Overall;Value (EUR);Wage per week (EUR);Preferred Foot;Position;Field
A. Martínez;24;Chile;CHL;66;850000;2000;Right;LM;Midfield
R. Niemeijer;23;Netherlands;NLD;66;850000;2000;Right;CAM;Midfield
Ricardo Vaz;23;Portugal;PRT;66;850000;2000;Right;LM;Midfield
S. Findlay;22;Scotland;GBR;66;850000;2000;Left;LCB;Defense
M. Ljujić;24;Serbia;SRB;66;850000;2000;Left;CAM;Midfield
N. Hansen;23;Denmark;DNK;66;850000;2000;Right;RM;Midfield
E. Ómarsson;23;Iceland;ISL;66;850000;2000;Right;ST;Attack
L. Hufnagel;24;Georgia;GEO;66;850000;2000;Right;LDM;Midfield
M. Djetei;23;Cameroon;CMR;66;850000;2000;Right;CB;Defense
J. Emmanuel;20;England;GBR;66;825000;2000;Right;RB;Defense
D. Szymański;23;Poland;POL;66;825000;2000;Right;RCM;Midfield
F. Diarra;26;Mali;MLI;66;825000;2000;Right;ST;Attack
M. Dittgen;23;Germany;DEU;66;825000;2000;Left;LM;Midfield
P. Dziczek;20;Poland;POL;66;825000;2000;Right;RDM;Midfield
O. Bulut;24;Germany;DEU;66;825000;2000;Right;LCM;Midfield
D. Zeefuik;20;Netherlands;NLD;66;825000;2000;Right;RB;Defense
H. McGahey;22;England;GBR;66;825000;2000;Right;RCB;Defense
C. Tanner;23;England;GBR;66;825000;2000;Left;RM;Midfield
A. Sigurðarson;24;Iceland;ISL;66;825000;2000;Right;LW;Attack
C. Bravo;24;Chile;CHL;66;825000;2000;Right;LM;Midfield
R. Klaasen;24;Netherlands;NLD;66;825000;2000;Left;LCM;Midfield
Borja;21;Spain;ESP;66;825000;2000;Right;RB;Defense
Sergio Gil;22;Spain;ESP;66;825000;2000;Left;CDM;Midfield
E. Yao Guy;22;Ivory Coast;CIV;66;825000;2000;Right;CB;Defense
M. Marras;24;Italy;ITA;66;800000;2000;Left;RW;Attack
M. Boyle;25;Australia;AUS;66;800000;2000;Right;RM;Midfield
Lee Chan Dong;25;Korea Republic;KOR;66;800000;2000;Right;LCM;Midfield
J. Biada;25;Germany;DEU;66;800000;2000;Right;RS;Attack
A. Kolev;25;Bulgaria;BGR;66;800000;2000;Right;ST;Attack
C. Arcus;22;Haiti;HTI;66;800000;2000;Right;RB;Defense
Álex Cobo;22;Spain;ESP;66;800000;2000;Right;GK;Defense
D. Saddiki;21;Netherlands;NLD;66;775000;2000;Right;CDM;Midfield
S. Lizana;25;Chile;CHL;66;775000;2000;Right;CAM;Midfield
M. N'Doye;26;Senegal;SEN;66;775000;2000;Right;LCM;Midfield
D. van Bruggen;22;Netherlands;NLD;66;775000;2000;Right;CB;Defense
M. Gouaida;25;Tunisia;TUN;66;775000;2000;Left;LM;Midfield
P. Frick;26;Sweden;SWE;66;775000;2000;Right;CF;Attack
Y. Nakano;25;Japan;JPN;66;775000;2000;Right;LM;Midfield
D. Gomis;25;France;FRA;66;775000;2000;Right;LM;Midfield
I. Alhassan;21;Nigeria;NGA;66;775000;2000;Right;CDM;Midfield
R. Shirasaki;25;Japan;JPN;66;775000;2000;Right;LCM;Midfield
José Ángel;26;Spain;ESP;66;775000;2000;Left;CM;Midfield
S. Scougall;25;Scotland;GBR;66;775000;2000;Left;CM;Midfield
D. Vega;25;Costa Rica;CRI;66;775000;2000;Left;RW;Attack
K. Rodrigues Pires;26;Portugal;PRT;66;750000;2000;Left;CDM;Midfield
B. Straalman;21;Netherlands;NLD;66;750000;2000;Right;LCB;Defense
Ha Chang Rae;23;Korea Republic;KOR;66;750000;2000;Right;RCB;Defense
N. Gauna;26;Argentina;ARG;66;750000;2000;Left;LM;Midfield
B. Halloran;26;Australia;AUS;66;750000;2000;Right;RW;Attack
N. Jackers;20;Belgium;BEL;66;750000;2000;Right;GK;Defense
C. Forrester;25;Republic of Ireland;IRL;66;750000;2000;Right;CDM;Midfield
F. Wadja;23;Cameroon;CMR;66;750000;2000;Right;CDM;Midfield
Fran Rodríguez;23;Spain;ESP;66;750000;2000;Right;RB;Defense
N. Bärkroth;26;Sweden;SWE;66;750000;2000;Right;RW;Attack
A. Syhre;23;Germany;DEU;66;750000;2000;Right;CB;Defense
I. Ssewankambo;22;Sweden;SWE;66;750000;2000;Right;RB;Defense
G. Bijl;22;Netherlands;NLD;66;750000;2000;Right;RCM;Midfield
Yun Il Lok;26;Korea Republic;KOR;66;750000;2000;Right;LM;Midfield
C. Goodwin;26;Australia;AUS;66;750000;2000;Left;LW;Attack
M. Ødegaard;25;Norway;NOR;66;725000;2000;Right;RCB;Defense
F. Holst;23;Denmark;DNK;66;725000;2000;Right;RB;Defense
N. Datković;25;Croatia;HRV;66;725000;2000;Right;LCB;Defense
C. Chapman;23;Australia;AUS;66;725000;2000;Right;LCM;Midfield
E. Diaw;23;Senegal;SEN;66;725000;2000;Left;LCB;Defense
R. Ramírez;22;Venezuela;VEN;66;725000;2000;Right;CB;Defense
K. Wagner;21;Germany;DEU;66;725000;2000;Left;LB;Defense
Álex Barrera;27;Spain;ESP;66;725000;2000;Right;CM;Midfield
M. Spano Rahou;23;France;FRA;66;725000;2000;Right;LCB;Defense
J. Rafferty;24;Republic of Ireland;IRL;66;725000;2000;Right;RB;Defense
R. Godínez;25;Mexico;MEX;66;725000;2000;Right;CB;Defense
L. Rodríguez;24;Argentina;ARG;66;725000;2000;Left;LB;Defense
J. Żubrowski;26;Poland;POL;66;725000;2000;Right;LDM;Midfield
Jonatan Lucca;24;Brazil;BRA;66;725000;2000;Right;LCM;Midfield
B. Niňaj;24;Slovakia;SVK;66;725000;2000;Right;RCB;Defense
S. Sandberg;24;Sweden;SWE;66;725000;2000;Right;RB;Defense
D. Bakker;23;Netherlands;NLD;66;700000;2000;Left;CDM;Midfield
Reinildo;24;Mozambique;MOZ;66;700000;2000;Left;LB;Defense
B. Inman;26;Australia;AUS;66;700000;2000;Right;LM;Midfield
M. Cabit;25;France;FRA;66;700000;2000;Left;LB;Defense
J. Hardeveld;23;Netherlands;NLD;66;700000;2000;Left;CB;Defense
F. Bambock;23;France;FRA;66;700000;2000;Right;CDM;Midfield
J. Mora;25;Costa Rica;CRI;66;700000;2000;Left;LB;Defense
A. Grant;24;Australia;AUS;66;700000;2000;Left;LCB;Defense
R. Rebolledo;21;Chile;CHL;66;700000;2000;Right;RB;Defense
D. Widgren;24;Sweden;SWE;66;700000;2000;Left;LB;Defense
S. Jakubiak;25;Germany;DEU;66;700000;2000;Right;CDM;Midfield
Lee Myung Jae;24;Korea Republic;KOR;66;700000;2000;Left;LB;Defense
M. Jansen;25;Germany;DEU;66;700000;2000;Right;CDM;Midfield
R. Teibert;25;Canada;CAN;66;700000;2000;Left;CDM;Midfield
N. Saint-Ruf;25;France;FRA;66;700000;2000;Right;CB;Defense
R. van der Meer;23;Netherlands;NLD;66;700000;2000;Left;LB;Defense
L. Woudenberg;24;Netherlands;NLD;66;700000;2000;Left;LB;Defense
A. Deja;25;Poland;POL;66;700000;2000;Right;RDM;Midfield
K. Opseth;28;Norway;NOR;66;675000;2000;Left;ST;Attack
R. Schwartz;28;Denmark;DNK;66;675000;2000;Right;ST;Attack
David Haro;27;Spain;ESP;66;675000;2000;Right;LW;Attack
D. Gustavsson;27;Sweden;SWE;66;675000;2000;Right;LM;Midfield
M. Szczepaniak;27;Poland;POL;66;675000;2000;Right;ST;Attack
J. Watts;26;United States;USA;66;675000;2000;Right;CB;Defense
J. Tutuarima;25;Netherlands;NLD;66;675000;2000;Left;LWB;Defense
J. Meekings;25;England;GBR;66;675000;2000;Right;CB;Defense
M. Konczkowski;24;Poland;POL;66;675000;2000;Right;RB;Defense
Zé Manuel;27;Portugal;PRT;66;675000;2000;Right;LW;Attack
B. Kopacz;26;Poland;POL;66;675000;2000;Right;RB;Defense
Sim Sang Min;25;Korea Republic;KOR;66;675000;2000;Left;LB;Defense
H. Zuck;27;Germany;DEU;66;675000;2000;Left;LM;Midfield
H. Ojamaa;27;Estonia;EST;66;675000;2000;Right;LF;Attack
J. Vet;24;Netherlands;NLD;66;675000;2000;Right;CDM;Midfield
J. Tamm;26;Estonia;EST;66;675000;2000;Left;LCB;Defense
L. Dos Santos;25;France;FRA;66;675000;2000;Right;LB;Defense
Isaac Carcelén;25;Spain;ESP;66;675000;2000;Right;RM;Midfield
O. Eddahri;27;Sweden;SWE;66;675000;2000;Right;CF;Attack
R. Söder;27;Sweden;SWE;66;675000;2000;Right;ST;Attack
P. Steinhart;25;Germany;DEU;66;675000;2000;Left;LM;Midfield
A. Uryga;24;Poland;POL;66;675000;2000;Right;RCB;Defense
C. Hemlein;27;Germany;DEU;66;675000;2000;Right;RM;Midfield
F. Rherras;25;Morocco;MAR;66;675000;2000;Right;LB;Defense
C. Escobar;28;Chile;CHL;66;675000;2000;Right;ST;Attack
N. Devlin;24;Scotland;GBR;66;650000;2000;Right;RB;Defense
M. Crimi;28;Italy;ITA;66;650000;2000;Right;LCM;Midfield
H. Okuno;28;Japan;JPN;66;650000;2000;Right;LCM;Midfield
Kim Sung Ju;27;Korea Republic;KOR;66;650000;2000;Left;LM;Midfield
S. Suciu;28;Romania;ROU;66;650000;2000;Right;CM;Midfield
F. Casarini;28;Italy;ITA;66;650000;2000;Right;CM;Midfield
Mica Pinto;25;Portugal;PRT;66;650000;2000;Left;LB;Defense
K. Igboananike;29;Nigeria;NGA;66;650000;2000;Right;ST;Attack
D. Blacha;27;Poland;POL;66;650000;2000;Right;LDM;Midfield
R. Blanco;28;Argentina;ARG;66;650000;2000;Left;CAM;Midfield
M. Migliorini;26;Italy;ITA;66;650000;2000;Right;CB;Defense
C. Dunne;25;Republic of Ireland;IRL;66;650000;2000;Left;LCB;Defense
Ricardo Alves;27;Portugal;PRT;66;650000;2000;Right;CB;Defense
L. Roberts;23;England;GBR;66;650000;2000;Left;GK;Defense
H. Kawano;28;Japan;JPN;66;650000;2000;Left;RM;Midfield
M. Jankowski;28;Poland;POL;66;650000;2000;Right;ST;Attack
Andrés Prieto;24;Spain;ESP;66;650000;2000;Right;GK;Defense
M. Lepe;27;Chile;CHL;66;650000;2000;Right;RDM;Midfield
M. Abdellaoue;29;Norway;NOR;66;650000;2000;Right;ST;Attack
K. Takayama;29;Japan;JPN;66;650000;2000;Right;CF;Attack
S. Aasmundsen;28;Norway;NOR;66;650000;2000;Right;LDM;Midfield
J. Skjelvik;26;Norway;NOR;66;650000;2000;Left;CB;Defense
C. Rismark;26;Norway;NOR;66;650000;2000;Left;CB;Defense
M. Çelik;28;Sweden;SWE;66;650000;2000;Right;LW;Attack
A. Gómez;25;Peru;PER;66;650000;2000;Left;LWB;Defense
D. Toia;26;United States;USA;66;625000;2000;Left;LB;Defense
M. Trapp;26;Germany;DEU;66;625000;2000;Left;LCB;Defense
Kim Ho Nam;29;Korea Republic;KOR;66;625000;2000;Right;RM;Midfield
E. Quiñones;29;Colombia;COL;66;625000;2000;Left;LM;Midfield
E. Larsson;26;Sweden;SWE;66;625000;2000;Right;RWB;Defense
S. McConville;29;England;GBR;66;625000;2000;Right;LM;Midfield
Juan Cruz;25;Spain;ESP;66;625000;2000;Left;LB;Defense
M. Sema;29;Sweden;SWE;66;625000;2000;Right;RW;Attack
F. Ciampichetti;30;Argentina;ARG;66;625000;2000;Right;ST;Attack
O. Benítez;27;Argentina;ARG;66;625000;2000;Left;CB;Defense
S. Diakité;29;Mali;MLI;66;625000;2000;Right;CM;Midfield
V. Prodell;30;Sweden;SWE;66;625000;2000;Right;ST;Attack
E. Fejzullahu;30;Kosovo;MKD;66;625000;2000;Right;ST;Attack
A. Schlager;22;Austria;AUT;66;625000;2000;Right;GK;Defense
M. Mancosu;29;Italy;ITA;66;625000;2000;Right;CAM;Midfield
U. Taffertshofer;26;Germany;DEU;66;625000;2000;Right;RDM;Midfield
R. Hollingshead;27;United States;USA;66;600000;2000;Right;LB;Defense
A. Faltsetas;30;Sweden;SWE;66;600000;2000;Right;RCM;Midfield
F. Della Rocca;30;Italy;ITA;66;600000;2000;Left;CM;Midfield
G. Gallon;25;France;FRA;66;600000;2000;Right;GK;Defense
Q. Moll;27;Germany;DEU;66;600000;2000;Right;LCM;Midfield
O. Halvorsen;30;Norway;NOR;66;600000;2000;Right;RM;Midfield
Park Jin Po;30;Korea Republic;KOR;66;600000;2000;Left;RB;Defense
Jung Seung Yong;27;Korea Republic;KOR;66;600000;2000;Left;LB;Defense
M. Endres;27;Germany;DEU;66;600000;2000;Right;RCB;Defense
Manu García;27;Spain;ESP;66;575000;2000;Right;GK;Defense
Borja Granero;28;Spain;ESP;66;575000;2000;Left;CDM;Midfield
Son Jeong Hyeon;26;Korea Republic;KOR;66;575000;2000;Left;GK;Defense
O. Cissokho;31;Senegal;SEN;66;575000;2000;Left;LM;Midfield
G. Merebashvili;31;Georgia;GEO;66;575000;2000;Right;LM;Midfield
K. Ilsø;31;Denmark;DNK;66;575000;2000;Right;RCM;Midfield
J. Ojala;29;Finland;FIN;66;575000;2000;Right;CB;Defense
I. Khalili;31;Palestine;PSE;66;575000;2000;Left;RM;Midfield
T. Umesaki;31;Japan;JPN;66;575000;2000;Right;LW;Attack
A. Marin;28;France;FRA;66;575000;2000;Right;CB;Defense
Milton Raphael;27;Brazil;BRA;66;575000;2000;Right;GK;Defense
Z. Clark;26;Scotland;GBR;66;575000;2000;Right;GK;Defense
S. Stevens;26;Netherlands;NLD;66;575000;2000;Right;GK;Defense
Z. Alomerović;27;Serbia;SRB;66;550000;2000;Right;GK;Defense
A. Kann;27;United States;USA;66;550000;2000;Left;GK;Defense
K. Kamiński;27;Poland;POL;66;550000;2000;Right;GK;Defense
V. Andriuškevičius;27;Lithuania;LTU;66;525000;2000;Left;LB;Defense
R. O'Donovan;32;Republic of Ireland;IRL;66;525000;2000;Right;ST;Attack
A. Cocco;32;Italy;ITA;66;525000;2000;Right;ST;Attack
A. Jovanović;28;Australia;AUS;66;525000;2000;Right;LCB;Defense
Freire;28;Brazil;BRA;66;525000;2000;Right;LCB;Defense
A. Monfray;27;France;FRA;66;525000;2000;Right;RB;Defense
M. Bruscagin;28;Italy;ITA;66;525000;2000;Right;CB;Defense
K. Tokura;32;Japan;JPN;66;525000;2000;Left;ST;Attack
R. Vollath;28;Germany;DEU;66;525000;2000;Right;GK;Defense
Hwang Seok Ho;29;Korea Republic;KOR;66;500000;2000;Right;RCB;Defense
M. Buchalik;29;Poland;POL;66;500000;2000;Right;GK;Defense
J. Oumari;29;Lebanon;LBN;66;500000;2000;Left;LCB;Defense
A. Sušac;29;Croatia;HRV;66;500000;2000;Right;RCB;Defense
C. Telo;28;Sweden;SWE;66;500000;2000;Right;LB;Defense
H. Radetinac;32;Serbia;SRB;66;500000;2000;Right;LW;Attack
A. Matuszczyk;29;Poland;POL;66;500000;2000;Right;RDM;Midfield
D. Stahl;29;Germany;DEU;66;500000;2000;Right;RDM;Midfield
J. Willis;29;United States;USA;66;500000;2000;Right;GK;Defense
Ryu Won Woo;27;Korea Republic;KOR;66;500000;2000;Left;GK;Defense
Z. Janjić;32;Bosnia Herzegovina;MKD;66;500000;2000;Right;CAM;Midfield
K. Engel;29;Kazakhstan;KAZ;66;475000;2000;Right;LB;Defense
F. Nordkvelle;32;Norway;NOR;66;475000;2000;Right;CM;Midfield
K. Kallaste;29;Estonia;EST;66;475000;2000;Left;LB;Defense
T. Teniste;30;Estonia;EST;66;475000;2000;Right;RB;Defense
G. Pacheco;29;Chile;CHL;66;475000;2000;Right;RB;Defense
A. Bernal;30;Colombia;COL;66;475000;2000;Right;LDM;Midfield
F. Banguero;29;Colombia;COL;66;475000;2000;Left;LB;Defense
K. Gehring;30;Germany;DEU;66;475000;2000;Right;LCB;Defense
B. Easton;30;Scotland;GBR;66;475000;2000;Left;LB;Defense
A. Marciniak;29;Poland;POL;66;475000;2000;Left;LB;Defense
Manuel Sánchez;30;Spain;ESP;66;475000;2000;Left;CDM;Midfield
V. Skjerve;30;Norway;NOR;66;475000;2000;Right;CB;Defense
C. Schuler;30;United States;USA;66;475000;2000;Left;CB;Defense
A. Lithgow;30;Scotland;GBR;66;475000;2000;Right;LCB;Defense
D. Holm;32;Norway;NOR;66;475000;2000;Left;RDM;Midfield
T. Beltran;30;United States;USA;66;475000;2000;Right;RB;Defense
C. McCann;30;Republic of Ireland;IRL;66;475000;2000;Left;LB;Defense
C. Warner;30;United States;USA;66;475000;2000;Right;CDM;Midfield
Lee Ho Seung;28;Korea Republic;KOR;66;450000;2000;Right;GK;Defense
Morillas;31;Spain;ESP;66;425000;2000;Left;LB;Defense
M. Hughes;31;England;GBR;66;425000;2000;Right;LCB;Defense
J. Horn;31;Norway;NOR;66;425000;2000;Right;CB;Defense
V. Janjetović;30;Australia;AUS;66;425000;2000;Right;GK;Defense
S. Sinovic;31;United States;USA;66;425000;2000;Left;LB;Defense
M. Oxley;27;England;GBR;66;425000;2000;Right;GK;Defense
Aitor;31;Spain;ESP;66;425000;2000;Right;RB;Defense
M. de Jong;31;Canada;CAN;66;425000;2000;Left;LB;Defense
A. Dercho;31;Germany;DEU;66;425000;2000;Left;LB;Defense
A. Nordvik;31;Norway;NOR;66;425000;2000;Left;CB;Defense
Y. Toyoda;33;Japan;JPN;66;400000;2000;Right;ST;Attack
Valverde;33;Spain;ESP;66;400000;2000;Right;RM;Midfield
F. Canales;31;Mexico;MEX;66;400000;2000;Right;GK;Defense
A. Le Tallec;33;France;FRA;66;400000;2000;Right;ST;Attack
H. Iikura;32;Japan;JPN;66;375000;2000;Right;GK;Defense
D. Horst;32;United States;USA;66;375000;2000;Right;CB;Defense
S. Anderson;32;Scotland;GBR;66;375000;2000;Right;CB;Defense
A. Hainault;32;Canada;CAN;66;375000;2000;Right;LCB;Defense
H. Hauger;32;Norway;NOR;66;375000;2000;Right;RCM;Midfield
D. Jaković;32;Canada;CAN;66;375000;2000;Right;LCB;Defense
L. Broź;32;Poland;POL;66;350000;2000;Right;RB;Defense
N. Crovetto;32;Chile;CHL;66;350000;2000;Left;LB;Defense
Kim Chang Soo;32;Korea Republic;KOR;66;350000;2000;Right;RB;Defense
C. Doyle;33;Republic of Ireland;IRL;66;325000;2000;Right;GK;Defense
T. Černý;33;Czech Republic;CZE;66;325000;2000;Left;GK;Defense
B. Santalab;35;Australia;AUS;66;300000;2000;Right;ST;Attack
P. Brożek;35;Poland;POL;66;300000;2000;Right;ST;Attack
J. Blayac;35;France;FRA;66;300000;2000;Right;ST;Attack
A. Hadouir;35;Netherlands;NLD;66;280000;2000;Right;CAM;Midfield
F. Torres;35;Mexico;MEX;66;270000;2000;Right;CM;Midfield
D. Sjölund;35;Finland;FIN;66;270000;2000;Left;CM;Midfield
Y. Takahashi;33;Japan;JPN;66;260000;2000;Right;LDM;Midfield
H. Taniguchi;33;Japan;JPN;66;260000;2000;Right;CB;Defense
E. Jääger;33;Estonia;EST;66;260000;2000;Right;CB;Defense
J. Pierazzi;33;France;FRA;66;260000;2000;Right;CDM;Midfield
Basilio;34;Spain;ESP;66;260000;2000;Right;GK;Defense
D. Haas;34;Germany;DEU;66;260000;2000;Right;GK;Defense
L. Kruse;34;Germany;DEU;66;260000;2000;Right;GK;Defense
A. Kantari;33;Morocco;MAR;66;260000;2000;Left;LCB;Defense
F. Brillant;33;France;FRA;66;260000;2000;Right;RCB;Defense
Diogo Santos;33;Portugal;PRT;66;260000;2000;Right;CDM;Midfield
R. Miller;33;Costa Rica;CRI;66;260000;2000;Left;CB;Defense
Jony Ñíguez;33;Spain;ESP;66;260000;2000;Right;CDM;Midfield
T. Renault;34;France;FRA;66;260000;2000;Right;GK;Defense
S. Franklin;33;United States;USA;66;250000;2000;Right;RB;Defense
Fábinho;33;Brazil;BRA;66;250000;2000;Left;LB;Defense
D. Čotra;33;Serbia;SRB;66;250000;2000;Left;LB;Defense
F. Dick;33;Germany;DEU;66;250000;2000;Right;RB;Defense
A. Akinfenwa;36;England;GBR;66;230000;2000;Right;LS;Attack
K. Tamada;38;Japan;JPN;66;220000;2000;Left;RF;Attack
K. Oi;34;Japan;JPN;66;200000;2000;Right;CB;Defense
Cho Yong Hyung;34;Korea Republic;KOR;66;200000;2000;Right;CB;Defense
Manu;34;Switzerland;CHE;66;180000;2000;Left;LB;Defense
Íñigo López;35;Spain;ESP;66;150000;2000;Right;LCB;Defense
R. Clark;35;United States;USA;66;150000;2000;Right;CDM;Midfield
L. Guldan;35;Slovakia;SVK;66;150000;2000;Right;LCB;Defense
Cho Won Hee;35;Korea Republic;KOR;66;150000;2000;Right;LCM;Midfield
R. Cierzniak;35;Poland;POL;66;150000;2000;Right;GK;Defense
Kwak Tae Hwi;36;Korea Republic;KOR;66;90000;2000;Right;CB;Defense
M. Doyle;36;Republic of Ireland;IRL;66;90000;2000;Left;LDM;Midfield
A. Mintzel;36;Germany;DEU;66;70000;2000;Left;LB;Defense
Xisco Campos;36;Spain;ESP;66;70000;2000;Right;RCB;Defense
A. Vanins;38;Latvia;LVA;66;40000;2000;Right;GK;Defense
T. Chalobah;18;England;GBR;66;1200000;1000;Right;LDM;Midfield
G. Koyalipou;18;France;FRA;66;1200000;1000;Right;RM;Midfield
C. Doucouré;18;Mali;MLI;66;1200000;1000;Right;LDM;Midfield
B. Rovira;21;Colombia;COL;66;1100000;1000;Right;RDM;Midfield
L. Reis;18;Netherlands;NLD;66;1100000;1000;Right;RDM;Midfield
T. van de Looi;18;Netherlands;NLD;66;1100000;1000;Right;CM;Midfield
Diogo Costa;18;Portugal;PRT;66;1100000;1000;Right;GK;Defense
B. Tetteh;20;Ghana;GHA;66;1100000;1000;Right;LS;Attack
T. Zhamaletdinov;21;Russia;RUS;66;1100000;1000;Right;ST;Attack
C. Ejuke;20;Nigeria;NGA;66;1100000;1000;Right;RM;Midfield
A. Trusty;19;United States;USA;66;1100000;1000;Left;LCB;Defense
N. Rusyn;19;Ukraine;UKR;66;1100000;1000;Right;ST;Attack
A. Bussaglia;21;Italy;ITA;66;1000000;1000;Right;LW;Attack
M. Hilßner;23;Germany;DEU;66;1000000;1000;Left;RM;Midfield
B. Manu;21;Germany;DEU;66;1000000;1000;Right;LM;Midfield
N. Vergos;22;Greece;GRC;66;1000000;1000;Right;ST;Attack
N. Spalek;21;Slovakia;SVK;66;1000000;1000;Right;RW;Attack
H. Zapata;23;Colombia;COL;66;1000000;1000;Right;RM;Midfield
M. Odjer;21;Ghana;GHA;66;1000000;1000;Right;CM;Midfield
E. Ndoj;21;Albania;ALB;66;975000;1000;Right;RCM;Midfield
R. Vodišek;19;Slovenia;SVN;66;975000;1000;Right;GK;Defense
J. Gómez;22;Colombia;COL;66;975000;1000;Right;CB;Defense
J. Moreno;21;Colombia;COL;66;975000;1000;Left;CB;Defense
M. Pulkrab;21;Czech Republic;CZE;66;975000;1000;Right;ST;Attack
I. Lapshov;19;Russia;RUS;66;975000;1000;Right;CB;Defense
G. Kharaishvili;21;Georgia;GEO;66;950000;1000;Right;LW;Attack
L. Vignali;22;Italy;ITA;66;950000;1000;Right;RB;Defense
F. Proia;22;Italy;ITA;66;925000;1000;Right;LCM;Midfield
D. Barinov;21;Russia;RUS;66;925000;1000;Left;CDM;Midfield
L. Escorcia;21;Colombia;COL;66;925000;1000;Right;RCB;Defense
J. Byrne;22;Republic of Ireland;IRL;66;925000;1000;Right;CM;Midfield
L. Crecco;22;Italy;ITA;66;925000;1000;Left;CM;Midfield
G. Malcore;24;Italy;ITA;66;925000;1000;Right;ST;Attack
R. Pirrello;22;Italy;ITA;66;900000;1000;Right;CB;Defense
L. Angulo;22;Colombia;COL;66;900000;1000;Right;LCM;Midfield
A. Angulo;21;Colombia;COL;66;900000;1000;Left;LB;Defense
L. Montipó;22;Italy;ITA;66;900000;1000;Right;GK;Defense
Y. Hurtado;21;Colombia;COL;66;900000;1000;Right;RB;Defense
T. Bergmann;21;Germany;DEU;66;875000;1000;Right;CDM;Midfield
Dani Martín;19;Spain;ESP;66;875000;1000;Right;GK;Defense
Neto Borges;21;Brazil;BRA;66;850000;1000;Left;LB;Defense
C. Dajome;24;Colombia;COL;66;850000;1000;Right;LS;Attack
Y. González;23;Colombia;COL;66;850000;1000;Right;CAM;Midfield
E. Caicedo;23;Colombia;COL;66;850000;1000;Left;CB;Defense
M. Høibråten;23;Norway;NOR;66;850000;1000;Left;LCB;Defense
J. Becerra;24;Colombia;COL;66;850000;1000;Right;CAM;Midfield
H. Mojica;25;Colombia;COL;66;825000;1000;Left;CAM;Midfield
D. Frare;22;Italy;ITA;66;825000;1000;Right;CB;Defense
E. Correa;25;Colombia;COL;66;825000;1000;Left;ST;Attack
S. Diaz;22;Chile;CHL;66;825000;1000;Left;CDM;Midfield
M. Ricci;24;Italy;ITA;66;825000;1000;Right;CM;Midfield
Jajá;23;Brazil;BRA;66;825000;1000;Left;CM;Midfield
L. Strizzolo;26;Italy;ITA;66;825000;1000;Right;ST;Attack
T. Mavromatis;21;Greece;GRC;66;825000;1000;Left;LCB;Defense
H. Rivero;25;Argentina;ARG;66;825000;1000;Right;ST;Attack
V. Retamal;20;Chile;CHL;66;825000;1000;Right;RB;Defense
M. Yaghoubi;23;Finland;FIN;66;825000;1000;Right;LM;Midfield
J. Duma;24;Argentina;ARG;66;800000;1000;Right;RW;Attack
J. Vela;25;Colombia;COL;66;800000;1000;Left;CAM;Midfield
R. Vanegas;25;Colombia;COL;66;800000;1000;Right;LM;Midfield
M. Palacios;25;Colombia;COL;66;800000;1000;Right;RM;Midfield
D. Palacios;18;Ecuador;ECU;66;775000;1000;Left;LB;Defense
M. Busellato;25;Italy;ITA;66;775000;1000;Right;CM;Midfield
S. Branca;26;Italy;ITA;66;775000;1000;Right;CM;Midfield
R. Benson;26;Republic of Ireland;IRL;66;775000;1000;Left;LCM;Midfield
B. Knežević;21;Croatia;HRV;66;750000;1000;Right;CDM;Midfield
M. Bär;26;Germany;DEU;66;750000;1000;Right;RS;Attack
M. Schröter;22;Germany;DEU;66;750000;1000;Right;RM;Midfield
D. Balanta;24;Colombia;COL;66;750000;1000;Right;LCB;Defense
K. Pannewitz;26;Germany;DEU;66;750000;1000;Right;LDM;Midfield
S. Adekugbe;23;Canada;CAN;66;750000;1000;Left;LB;Defense
V. Pule;26;South Africa;ZAF;66;750000;1000;Left;LW;Attack
D. Lowe;25;Jamaica;JAM;66;750000;1000;Right;CB;Defense
M. Ogbu;27;Nigeria;NGA;66;750000;1000;Right;ST;Attack
A. Witry;22;Norway;NOR;66;725000;1000;Right;RB;Defense
E. Lancini;24;Italy;ITA;66;725000;1000;Right;CB;Defense
K. Hidalgo;22;Chile;CHL;66;725000;1000;Right;CB;Defense
D. Murillo;24;Colombia;COL;66;725000;1000;Right;RB;Defense
D. Adorni;25;Italy;ITA;66;700000;1000;Right;LCB;Defense
L. Cabrera;24;Chile;CHL;66;700000;1000;Right;CDM;Midfield
C. Carrillo;25;Colombia;COL;66;700000;1000;Right;RCM;Midfield
L. Lezzerini;23;Italy;ITA;66;700000;1000;Right;GK;Defense
D. Mignanelli;25;Italy;ITA;66;700000;1000;Left;LB;Defense
M. Fornasier;24;Italy;ITA;66;700000;1000;Right;CB;Defense
V. Ranković;25;Germany;DEU;66;675000;1000;Right;RB;Defense
J. Elsey;24;Australia;AUS;66;675000;1000;Right;RCB;Defense
R. Caballero;27;Paraguay;PRY;66;675000;1000;Left;ST;Attack
M. Ballmert;24;Germany;DEU;66;675000;1000;Right;RB;Defense
J. Zelený;25;Czech Republic;CZE;66;675000;1000;Left;LB;Defense
N. Antonitsch;26;Austria;AUT;66;675000;1000;Right;LCB;Defense
M. Mešanović;27;Bosnia Herzegovina;MKD;66;675000;1000;Right;ST;Attack
M. Oesterhelweg;27;Germany;DEU;66;675000;1000;Left;LM;Midfield
